key,page_pattern,audience,order,label_fr,label_ar,label_ar_ma,scripted_reply_fr,scripted_reply_ar,scripted_reply_ar_ma,cta_label,cta_url,allow_followup_llm,intent_implied
price-kit,/kit,all,1,Quel est le prix du Pack ?,ما هو ثمن الطاقم ؟,Chhal taman dyal pack ?,"Le Pack FemiGlow est à 199 dh, au lieu de 390 dh en prix de référence. Il contient les 3 soins essentiels (nettoyant, sérum, tonique). Souhaitez-vous voir la composition complète ?","ثمن الطاقم هو 199 درهم، عوض 390 درهم. يحتوي على 3 منتجات أساسية. هل تريد رؤية التركيب الكامل ؟","Taman dyal pack howa 199 dh, mn b3d 390 dh. Fih 3 mantujat asasia (nettoyant, sérum, tonique). Bghiti tchouf l-composition kamla ?",Voir la composition,/kit#composition,yes,pricing
city-eta,/kit,all,2,Vous livrez à ma ville ?,تخدمو مدينتي ؟,Tdkhlu l-mdinti ?,"Oui, nous livrons partout au Maroc en 24-48 h pour les grandes villes (Casablanca, Rabat, Marrakech, Tanger…) et 2-4 jours pour les autres. La livraison est offerte dès 199 dh d'achat. Dans quelle ville êtes-vous ?","نعم، نخدم جميع المغرب في 24-48 ساعة للمدن الكبرى، و2-4 أيام للمدن الأخرى. التوصيل مجاني من 199 درهم. في أي مدينة أنتم ؟","Iyeh, kantkhdmu kol l-Maghrib f 24-48 sa3a l mdoun kbar, w 2-4 ayam l mdoun lkhrin. Lev'ya majania mn 199 dh. F-ach mdina ntouma ?",,,yes,shipping
how-use,/kit,all,3,Comment l'utiliser ?,كيفاش نستعملو ؟,Kifach nsta3mlou ?,"L'utilisation se fait en 3 étapes simples, matin et soir : (1) nettoyant doux, (2) sérum sur peau humide, (3) tonique pour fixer. Une routine de 5 minutes maximum. Les premiers résultats sont visibles en 2-3 semaines.","الاستعمال بسيط في 3 خطوات صباحا و مساء : 1- منظف لطيف 2- سيروم على بشرة رطبة 3- تونيك. روتين 5 دقايق. النتائج الأولى تظهر في 2-3 أسابيع.","L-isti3mal sahel f 3 khtouat sbah w l3chiya : 1- nettoyant ltif 2- sérum 3la bcharti ratba 3- tonique. Routine khamsa de9aye9. Nataij l-ouwla katbane mn 2 l 3 simanat.",Voir la routine détaillée,/kit/routine,yes,routine
home-greet,/,all,1,Quel est votre produit star ?,ما هو منتجك الأساسي ؟,Achno l-produit dyalkom l'aassi ?,"Notre produit phare est le Pack FemiGlow : 3 soins complémentaires pour la peau pelée post-épilation. À 199 dh (au lieu de 390 dh). Plus de 800 clientes satisfaites depuis le lancement. Voulez-vous découvrir le pack ?","منتجنا الرئيسي هو الطاقم فيميغلو : 3 منتجات للبشرة بعد الإزالة، بـ 199 درهم. أكثر من 800 زبونة راضية. تريد اكتشاف الطاقم ؟","L-produit dyalna l'aassi howa Pack FemiGlow : 3 soins l'bcharti m3a l'epilation. 199 dh. Ktar mn 800 zboun radya. Bghiti tchouf l-pack ?",Découvrir le Pack,/kit,yes,purchase-intent
home-results,/,all,2,Y a-t-il des avis clients ?,واش كاينين تجارب الزبونات ؟,Wach kaynin tjarib z'bounat ?,"Oui, vous trouverez plus de 200 témoignages clients (avant/après photos, vidéos) sur notre mur d'avis. Hanane de Marrakech écrit par exemple ‘j'ai vu un changement net en 2 semaines’. Souhaitez-vous voir les témoignages ?","نعم، أكثر من 200 شهادة (صور قبل/بعد، فيديوهات) متوفرة على جدار التقييمات. هل تريد رؤيتها ؟","Iyeh, ktar mn 200 chahada (tsawer 9bel/b3d, vidéos) f l-mur dyal tjarib. Bghiti tchouf-hom ?",Voir le mur d'avis,/reviews,yes,social-proof
home-shipping,/,all,3,Vous livrez où exactement ?,فين كتخدمو بالضبط ؟,Fin kantkhdmu b'd'b'bt ?,"Nous livrons partout au Maroc avec Sendit. 24-48 h pour les grandes villes, 2-4 jours pour les autres. Livraison gratuite dès 199 dh. Paiement à la livraison disponible. Dans quelle ville êtes-vous ?","نخدم جميع المغرب عبر Sendit. 24-48 ساعة للمدن الكبرى. التوصيل مجاني من 199 درهم. الدفع عند الاستلام متوفر.","Kantkhdmu kol l-Maghrib via Sendit. 24-48 sa3a l mdoun kbar. Lev'ya majania mn 199 dh. L'kheles 3and l-istilam mawjoud.",,,yes,shipping
b2b-reseller,/pro,b2b,1,Conditions revente B2B ?,شروط البيع بالجملة ؟,Chrout l-bay3 b'ljumla ?,"Pour les revendeurs (pharmacies, instituts), nous proposons des conditions privilégiées : tarifs dégressifs, livraison rapide, support marketing. Laissez vos coordonnées et notre équipe commerciale vous recontacte sous 24 h.","للموزعين (صيدليات، مؤسسات تجميل) نقدم شروط مميزة. اتركوا بياناتكم و فريقنا سيتصل بكم خلال 24 ساعة.","L'mowazi3in (saydaliyat, instituts), kaynin chrout mtmiza. Khellew bayanatkom w fri9na ghaytasel bikom f 24 sa3a.",Laisser mes coordonnées,#lead-form,yes,b2b
b2b-catalog,/pro,b2b,2,Avoir le catalogue PDF ?,طلب الكتالوغ ؟,Talab l-catalogue ?,"Nous envoyons notre catalogue B2B (gamme complète, tarifs grossistes, conditions) par email après vérification de votre activité. Laissez votre email professionnel et votre numéro d'enregistrement (RC ou ICE).","يمكنكم طلب الكتالوغ B2B عبر البريد الإلكتروني، بعد التحقق من نشاطكم.","Yqdar tald-bo l-catalogue B2B 3la l'email, b3d l-verification dyal n'chatkom.",Demander le catalogue,#b2b-form,yes,b2b
faq-allergie,/kit,all,4,Et si j'ai une peau sensible ?,أنا عندي بشرة حساسة ؟,Ana 3andi bcharti hassassa ?,"Le Pack FemiGlow est formulé pour les peaux fragilisées et sensibles, sans parabènes ni alcool desséchant. 92 % de nos clientes ont une peau sensible et l'utilisent sans problème. Nous recommandons toutefois un test à l'intérieur du poignet 24 h avant la première utilisation.","الطاقم مخصص للبشرات الحساسة، بدون باربين ولا كحول. 92 % من زبوناتنا عندهم بشرة حساسة. ننصح بتجربة على المعصم 24 ساعة قبل الاستخدام.","Pack m'sani3 l-bchirat l'hasasa, bla parabene ola alcool. 92 % mn z'bonatna 3andhom bcharti hassassa. Kan'nsihu b tjriba 3la l'9deem 24 sa3a 9bel l-isti3mal.",Voir la composition,/kit#composition,yes,objection-doubt
faq-results-time,/kit,all,5,Au bout de combien de temps les résultats ?,بعد قداش كنشوف النتائج ؟,B'3d 9addach kanchouf n'taij ?,"Les premiers effets (peau plus douce, moins de rougeurs) sont visibles en 7-10 jours. Les changements significatifs (tonicité, éclat) en 3-4 semaines avec une utilisation régulière 2 fois par jour. La cure complète dure 6-8 semaines.","النتائج الأولى في 7-10 أيام، تغييرات واضحة في 3-4 أسابيع باستخدام منتظم. الدورة الكاملة 6-8 أسابيع.","Nataij l-ouwla f 7-10 ayam, tgyirat wadha f 3-4 simanat b isti3mal m'ntadem. Cure kamla 6-8 simanat.",,,yes,routine
faq-payment,/kit,all,6,Comment je peux payer ?,كيفاش نخلص ؟,Kifach nkhelles ?,"Vous pouvez payer (1) à la livraison en espèces, (2) par virement bancaire, ou (3) par carte bancaire sur notre site sécurisé. Le paiement à la livraison est le plus pratique : vous vérifiez le colis avant de payer.","يمكن الدفع : 1- نقدا عند الاستلام، 2- تحويل بنكي، 3- بطاقة ائتمانية. الدفع عند الاستلام هو الأكثر استخداما.","Yqdar tkhelles : 1- cash 3and l-istilam, 2- virement bnki, 3- carte. L'kheles 3and l-istilam howa l'aktar isti3mal.",Voir les modes de paiement,/paiement,yes,purchase-intent
faq-comparison,/kit,all,7,En quoi c'est différent des autres produits ?,شنو الفرق مع المنتجات الأخرى ؟,Achno l-fr9 m3a l-mantujat l'okhrin ?,"FemiGlow est conçu spécifiquement pour la peau pelée post-épilation (laser, cire) : formule légère, ingrédients apaisants (centella asiatica, panthénol), pas de parfum. Contrairement aux crèmes hydratantes classiques, il cible la régénération cellulaire en plus de l'hydratation.","فيميغلو خاص بالبشرة بعد الإزالة (ليزر، شمع) : تركيبة خفيفة، مكونات مهدئة، بدون عطر. يستهدف تجديد الخلايا و الترطيب.","FemiGlow khass b l-bcharti m3a l-epilation (laser, chama3) : tarkiba khafifa, m'kawenat mhada'a, bla 3ttir. Kayrkez 3la t'jdid l-khlaya w t'rtib.",,,yes,comparison
